from	to	Organism Name Interactor A	Organism Name Interactor B
RNF11	ZNF350	Homo sapiens	Homo sapiens
HPSE	HPSE	Homo sapiens	Homo sapiens
BRCA1	ZNF350	Homo sapiens	Homo sapiens
BRCA1	ZNF350	Homo sapiens	Homo sapiens
BRCA1	ZNF350	Homo sapiens	Homo sapiens
TRIM28	ZNF350	Homo sapiens	Homo sapiens
BRCA1	ZNF350	Homo sapiens	Homo sapiens
RBBP8	ZNF350	Homo sapiens	Homo sapiens
BRCA1	ZNF350	Homo sapiens	Homo sapiens
RBBP8	ZNF350	Homo sapiens	Homo sapiens
TRIM28	ZNF350	Homo sapiens	Homo sapiens
ZNF350	NEK1	Homo sapiens	Homo sapiens
TRIM28	ZNF350	Homo sapiens	Homo sapiens
TRIM28	ZNF350	Homo sapiens	Homo sapiens
BRCA1	ZNF350	Homo sapiens	Homo sapiens
APPBP2	GALNT3	Homo sapiens	Homo sapiens
CDRT15	CDRT15L2	Homo sapiens	Homo sapiens
MAPK8IP2	GALNT3	Homo sapiens	Homo sapiens
ERBB2	HPSE	Homo sapiens	Homo sapiens
HPSE	NIPSNAP1	Homo sapiens	Homo sapiens
HPSE	FBXO7	Homo sapiens	Homo sapiens
HPSE	FAM134A	Homo sapiens	Homo sapiens
VHL	ZNF350	Homo sapiens	Homo sapiens
VHL	ZNF350	Homo sapiens	Homo sapiens
VHL	ZNF350	Homo sapiens	Homo sapiens
VHL	ZNF350	Homo sapiens	Homo sapiens
EP300	ZNF350	Homo sapiens	Homo sapiens
ZNF350	USP21	Homo sapiens	Homo sapiens
CDRT15	CDRT15L2	Homo sapiens	Homo sapiens
HPSE	SCGB2A2	Homo sapiens	Homo sapiens
HPSE	DNAJA4	Homo sapiens	Homo sapiens
HPSE	OS9	Homo sapiens	Homo sapiens
GALNT3	RSPRY1	Homo sapiens	Homo sapiens
ESR2	GALNT3	Homo sapiens	Homo sapiens
ZNF350	ZNF350	Homo sapiens	Homo sapiens
ZNF350	ZNF350	Homo sapiens	Homo sapiens
ZNF350	ZNF350	Homo sapiens	Homo sapiens
ZNF350	ZNF350	Homo sapiens	Homo sapiens
RBX1	ROCK1P1	Homo sapiens	Homo sapiens
CSK	CLECL1	Homo sapiens	Homo sapiens
HPSE	BAG2	Homo sapiens	Homo sapiens
HPSE	BAG5	Homo sapiens	Homo sapiens
CLIC1	HPSE	Homo sapiens	Homo sapiens
HPSE	DNAJA1	Homo sapiens	Homo sapiens
HPSE	DNAJA2	Homo sapiens	Homo sapiens
HPSE	DNAJB1	Homo sapiens	Homo sapiens
HPSE	DNAJC7	Homo sapiens	Homo sapiens
HPSE	HSP90AB2P	Homo sapiens	Homo sapiens
HSPA2	HPSE	Homo sapiens	Homo sapiens
HSPA4	HPSE	Homo sapiens	Homo sapiens
HSPH1	HPSE	Homo sapiens	Homo sapiens
HPSE	PSMB3	Homo sapiens	Homo sapiens
HPSE	STIP1	Homo sapiens	Homo sapiens
HPSE	STUB1	Homo sapiens	Homo sapiens
HPSE	SUN2	Homo sapiens	Homo sapiens
GALNT3	SLC15A3	Homo sapiens	Homo sapiens
UNC93B1	GALNT3	Homo sapiens	Homo sapiens
