from	to	Organism Name Interactor A	Organism Name Interactor B
KHK	LYZ	Homo sapiens	Homo sapiens
LRRK1	LYZ	Homo sapiens	Homo sapiens
NME2	LYZ	Homo sapiens	Homo sapiens
PRTN3	ITGAM	Homo sapiens	Homo sapiens
NFATC2	NFATC2	Homo sapiens	Homo sapiens
EP300	NFATC2	Homo sapiens	Homo sapiens
EP300	NFATC2	Homo sapiens	Homo sapiens
CREBBP	NFATC2	Homo sapiens	Homo sapiens
NFATC2	MED31	Homo sapiens	Homo sapiens
VIM	NFATC2	Homo sapiens	Homo sapiens
PRKCZ	NFATC2	Homo sapiens	Homo sapiens
PRKCZ	NFATC2	Homo sapiens	Homo sapiens
PIN1	NFATC2	Homo sapiens	Homo sapiens
LTF	LYZ	Homo sapiens	Homo sapiens
MEF2D	NFATC2	Homo sapiens	Homo sapiens
MEF2D	NFATC2	Homo sapiens	Homo sapiens
IRF4	NFATC2	Homo sapiens	Homo sapiens
IRF4	NFATC2	Homo sapiens	Homo sapiens
PRTN3	SERPINA1	Homo sapiens	Homo sapiens
PRTN3	SERPINB1	Homo sapiens	Homo sapiens
PRTN3	ELN	Homo sapiens	Homo sapiens
NFATC2	FOXP3	Homo sapiens	Homo sapiens
PARP11	LYZ	Homo sapiens	Homo sapiens
USP1	LYZ	Homo sapiens	Homo sapiens
USP25	LYZ	Homo sapiens	Homo sapiens
MAPK9	NFATC2	Homo sapiens	Homo sapiens
MAPK8	NFATC2	Homo sapiens	Homo sapiens
SMAD3	PRTN3	Homo sapiens	Homo sapiens
SUV39H1	NFATC2	Homo sapiens	Homo sapiens
NFATC2	TUBA1A	Homo sapiens	Homo sapiens
NFATC2	KPNB1	Homo sapiens	Homo sapiens
TAF9	NFATC2	Homo sapiens	Homo sapiens
HNRNPA1	NFATC2	Homo sapiens	Homo sapiens
NFATC2	TFAP4	Homo sapiens	Homo sapiens
NFATC2	TFAP4	Homo sapiens	Homo sapiens
CUL4B	LYZ	Homo sapiens	Homo sapiens
CDK2	LYZ	Homo sapiens	Homo sapiens
COPS6	LYZ	Homo sapiens	Homo sapiens
CLU	LYZ	Homo sapiens	Homo sapiens
NFATC2	IRF2BP2	Homo sapiens	Homo sapiens
NFATC2	IRF2BP2	Homo sapiens	Homo sapiens
NFATC2	IRF2BP2	Homo sapiens	Homo sapiens
GRK5	LYZ	Homo sapiens	Homo sapiens
CRK	LYZ	Homo sapiens	Homo sapiens
NFATC2	NFATC2	Homo sapiens	Homo sapiens
CREBBP	NFATC2	Homo sapiens	Homo sapiens
JUN	NFATC2	Homo sapiens	Homo sapiens
