from	to	Organism Name Interactor A	Organism Name Interactor B
JUN	NFATC2	Homo sapiens	Homo sapiens
NFATC2	LRRK2	Homo sapiens	Homo sapiens
NFATC2	IQGAP1	Homo sapiens	Homo sapiens
NFATC2	CSE1L	Homo sapiens	Homo sapiens
NFATC2	TNPO1	Homo sapiens	Homo sapiens
NFATC2	PPP2R1A	Homo sapiens	Homo sapiens
NFATC2	LRRK2	Homo sapiens	Homo sapiens
WHSC1L1	MNDA	Homo sapiens	Homo sapiens
HECW2	SLCO4C1	Homo sapiens	Homo sapiens
PRMT6	MNDA	Homo sapiens	Homo sapiens
PRMT7	MNDA	Homo sapiens	Homo sapiens
WHSC1L1	MNDA	Homo sapiens	Homo sapiens
NFATC2	USP22	Homo sapiens	Homo sapiens
NFATC2	USP22	Homo sapiens	Homo sapiens
SMAD6	LYZ	Homo sapiens	Homo sapiens
STAU1	LYZ	Homo sapiens	Homo sapiens
AURKA	LYZ	Homo sapiens	Homo sapiens
CEP57	LYZ	Homo sapiens	Homo sapiens
NEDD1	LYZ	Homo sapiens	Homo sapiens
NFATC2	GNB2	Homo sapiens	Homo sapiens
TP53	LYZ	Homo sapiens	Homo sapiens
FUS	LYZ	Homo sapiens	Homo sapiens
CMTM6	GLIPR1	Homo sapiens	Homo sapiens
GLIPR1	ALOXE3	Homo sapiens	Homo sapiens
RPS6KB2	LYZ	Homo sapiens	Homo sapiens
NTRK1	LYZ	Homo sapiens	Homo sapiens
KRAS	MNDA	Homo sapiens	Homo sapiens
CRK	MNDA	Homo sapiens	Homo sapiens
MAPK8IP2	MNDA	Homo sapiens	Homo sapiens
STAT3	MNDA	Homo sapiens	Homo sapiens
TMEM17	SLCO4C1	Homo sapiens	Homo sapiens
NFATC2	CREB1	Homo sapiens	Homo sapiens
JUN	NFATC2	Homo sapiens	Homo sapiens
MCM2	LYZ	Homo sapiens	Homo sapiens
IKZF1	NFATC2	Homo sapiens	Homo sapiens
JUN	NFATC2	Homo sapiens	Homo sapiens
RPTOR	NFATC2	Homo sapiens	Homo sapiens
NFATC2	CREB1	Homo sapiens	Homo sapiens
EP300	NFATC2	Homo sapiens	Homo sapiens
NFATC2	FOS	Homo sapiens	Homo sapiens
CHEK1	NFATC2	Homo sapiens	Homo sapiens
NFATC2	SCAI	Homo sapiens	Homo sapiens
NFATC2	IKZF2	Homo sapiens	Homo sapiens
GSK3B	NFATC2	Homo sapiens	Homo sapiens
NFATC2	RUNX1	Homo sapiens	Homo sapiens
SATB1	NFATC2	Homo sapiens	Homo sapiens
NFATC2	WDR48	Homo sapiens	Homo sapiens
IKZF1	NFATC2	Homo sapiens	Homo sapiens
CRYAB	LYZ	Homo sapiens	Homo sapiens
IKZF1	NFATC2	Homo sapiens	Homo sapiens
JUN	NFATC2	Homo sapiens	Homo sapiens
RPTOR	NFATC2	Homo sapiens	Homo sapiens
NFATC2	CREB1	Homo sapiens	Homo sapiens
EP300	NFATC2	Homo sapiens	Homo sapiens
NFATC2	FOS	Homo sapiens	Homo sapiens
CHEK1	NFATC2	Homo sapiens	Homo sapiens
NFATC2	SCAI	Homo sapiens	Homo sapiens
NFATC2	IKZF2	Homo sapiens	Homo sapiens
GSK3B	NFATC2	Homo sapiens	Homo sapiens
NFATC2	RUNX1	Homo sapiens	Homo sapiens
SATB1	NFATC2	Homo sapiens	Homo sapiens
NFATC2	WDR48	Homo sapiens	Homo sapiens
NFATC2	NFATC1	Homo sapiens	Homo sapiens
NFATC2	ZNF384	Homo sapiens	Homo sapiens
NFATC2	ATF7	Homo sapiens	Homo sapiens
NFATC2	ZNF131	Homo sapiens	Homo sapiens
NFATC2	MAFK	Homo sapiens	Homo sapiens
XRCC5	NFATC2	Homo sapiens	Homo sapiens
PRKDC	NFATC2	Homo sapiens	Homo sapiens
CSNK1D	NFATC2	Homo sapiens	Homo sapiens
JUNB	NFATC2	Homo sapiens	Homo sapiens
NFATC2	NFYC	Homo sapiens	Homo sapiens
PLK1	NFATC2	Homo sapiens	Homo sapiens
LIG3	NFATC2	Homo sapiens	Homo sapiens
XRCC1	NFATC2	Homo sapiens	Homo sapiens
HSPA1A	NFATC2	Homo sapiens	Homo sapiens
NFATC2	HLTF	Homo sapiens	Homo sapiens
BTAF1	NFATC2	Homo sapiens	Homo sapiens
YWHAB	NFATC2	Homo sapiens	Homo sapiens
NFATC2	CHAF1B	Homo sapiens	Homo sapiens
NFATC2	LEF1	Homo sapiens	Homo sapiens
NFATC2	IRF2BP1	Homo sapiens	Homo sapiens
JUND	NFATC2	Homo sapiens	Homo sapiens
NFATC2	TFAM	Homo sapiens	Homo sapiens
NFATC2	MAFG	Homo sapiens	Homo sapiens
NFATC2	SSBP1	Homo sapiens	Homo sapiens
RANBP9	NFATC2	Homo sapiens	Homo sapiens
NFATC2	CHAMP1	Homo sapiens	Homo sapiens
RPA1	NFATC2	Homo sapiens	Homo sapiens
NFATC2	WDR26	Homo sapiens	Homo sapiens
NFATC2	IRF2BP2	Homo sapiens	Homo sapiens
NFATC2	ZNF148	Homo sapiens	Homo sapiens
NFATC2	FOXK1	Homo sapiens	Homo sapiens
NFATC2	ZNF217	Homo sapiens	Homo sapiens
NFATC2	DEK	Homo sapiens	Homo sapiens
RPA3	NFATC2	Homo sapiens	Homo sapiens
NFATC2	POLG	Homo sapiens	Homo sapiens
CACYBP	NFATC2	Homo sapiens	Homo sapiens
RPA2	NFATC2	Homo sapiens	Homo sapiens
NFYB	NFATC2	Homo sapiens	Homo sapiens
PARP1	NFATC2	Homo sapiens	Homo sapiens
ETV6	NFATC2	Homo sapiens	Homo sapiens
NFATC2	XRCC6	Homo sapiens	Homo sapiens
NFATC2	KIF4A	Homo sapiens	Homo sapiens
RFC4	NFATC2	Homo sapiens	Homo sapiens
NFATC2	RFC3	Homo sapiens	Homo sapiens
NFATC2	EGR1	Homo sapiens	Homo sapiens
NFATC2	CAD	Homo sapiens	Homo sapiens
NFATC2	RFC5	Homo sapiens	Homo sapiens
CTBP1	NFATC2	Homo sapiens	Homo sapiens
NFATC2	RFC2	Homo sapiens	Homo sapiens
NFATC2	BCL11B	Homo sapiens	Homo sapiens
YWHAG	NFATC2	Homo sapiens	Homo sapiens
NFATC2	KIF2C	Homo sapiens	Homo sapiens
NFATC2	RNGTT	Homo sapiens	Homo sapiens
NFATC2	PRDM15	Homo sapiens	Homo sapiens
NFATC2	ALDH18A1	Homo sapiens	Homo sapiens
NFATC2	MTHFD2	Homo sapiens	Homo sapiens
YWHAE	NFATC2	Homo sapiens	Homo sapiens
NFATC2	MRPL39	Homo sapiens	Homo sapiens
NFATC2	TUFM	Homo sapiens	Homo sapiens
NFATC2	IFI16	Homo sapiens	Homo sapiens
TP53BP1	NFATC2	Homo sapiens	Homo sapiens
NFATC2	ERAL1	Homo sapiens	Homo sapiens
SSRP1	NFATC2	Homo sapiens	Homo sapiens
NFATC2	TRRAP	Homo sapiens	Homo sapiens
YWHAQ	NFATC2	Homo sapiens	Homo sapiens
NFATC2	HIRA	Homo sapiens	Homo sapiens
ERCC3	NFATC2	Homo sapiens	Homo sapiens
NFATC2	UBE2S	Homo sapiens	Homo sapiens
NFATC2	SUPT6H	Homo sapiens	Homo sapiens
NFATC2	ARID1A	Homo sapiens	Homo sapiens
NFATC2	HSPA9	Homo sapiens	Homo sapiens
NFATC2	POGZ	Homo sapiens	Homo sapiens
NFATC2	UHRF1	Homo sapiens	Homo sapiens
NFATC2	SUCLA2	Homo sapiens	Homo sapiens
HSPA5	NFATC2	Homo sapiens	Homo sapiens
NFATC2	DPF2	Homo sapiens	Homo sapiens
YWHAZ	NFATC2	Homo sapiens	Homo sapiens
NFATC2	GATAD2A	Homo sapiens	Homo sapiens
NFATC2	LRRC47	Homo sapiens	Homo sapiens
NFATC2	ZMYM2	Homo sapiens	Homo sapiens
NFATC2	DNAJA1	Homo sapiens	Homo sapiens
NFATC2	IDH3A	Homo sapiens	Homo sapiens
NFATC2	SDHA	Homo sapiens	Homo sapiens
CBX5	NFATC2	Homo sapiens	Homo sapiens
NFATC2	CABIN1	Homo sapiens	Homo sapiens
NFATC2	VAPA	Homo sapiens	Homo sapiens
CBX3	NFATC2	Homo sapiens	Homo sapiens
MRE11A	NFATC2	Homo sapiens	Homo sapiens
NFATC2	SMARCA5	Homo sapiens	Homo sapiens
NFATC2	EEF2	Homo sapiens	Homo sapiens
RB1	NFATC2	Homo sapiens	Homo sapiens
MCRS1	NFATC2	Homo sapiens	Homo sapiens
EMD	NFATC2	Homo sapiens	Homo sapiens
NFATC2	GTF2H2C	Homo sapiens	Homo sapiens
GTF2H2	NFATC2	Homo sapiens	Homo sapiens
NFATC2	GTF2H2C_2	Homo sapiens	Homo sapiens
NFATC2	SUPT5H	Homo sapiens	Homo sapiens
RCOR1	NFATC2	Homo sapiens	Homo sapiens
NFATC2	VAPB	Homo sapiens	Homo sapiens
NFATC2	MRPL17	Homo sapiens	Homo sapiens
NFATC2	UQCRC2	Homo sapiens	Homo sapiens
TCF12	NFATC2	Homo sapiens	Homo sapiens
NFATC2	BEND3	Homo sapiens	Homo sapiens
SMARCA4	NFATC2	Homo sapiens	Homo sapiens
KDM1A	NFATC2	Homo sapiens	Homo sapiens
NFATC2	SMARCD2	Homo sapiens	Homo sapiens
NFATC2	AIFM1	Homo sapiens	Homo sapiens
MCM2	NFATC2	Homo sapiens	Homo sapiens
NFATC2	H2AFY	Homo sapiens	Homo sapiens
HSPA8	NFATC2	Homo sapiens	Homo sapiens
NFATC2	POLDIP2	Homo sapiens	Homo sapiens
RAD50	NFATC2	Homo sapiens	Homo sapiens
NFATC2	SMARCC1	Homo sapiens	Homo sapiens
POLR1C	NFATC2	Homo sapiens	Homo sapiens
NFATC2	TIMM50	Homo sapiens	Homo sapiens
NFATC2	MTA2	Homo sapiens	Homo sapiens
NFATC2	HADHA	Homo sapiens	Homo sapiens
NFATC2	TLK2	Homo sapiens	Homo sapiens
TLK1	NFATC2	Homo sapiens	Homo sapiens
NFATC2	RBBP4	Homo sapiens	Homo sapiens
NFATC2	GATAD2B	Homo sapiens	Homo sapiens
NFATC2	RANBP2	Homo sapiens	Homo sapiens
NFATC2	CEBPE	Homo sapiens	Homo sapiens
NFATC2	ADNP	Homo sapiens	Homo sapiens
NFATC2	SMARCE1	Homo sapiens	Homo sapiens
NFATC2	CNP	Homo sapiens	Homo sapiens
CBX1	NFATC2	Homo sapiens	Homo sapiens
NFATC2	SMARCC2	Homo sapiens	Homo sapiens
ZNF24	NFATC2	Homo sapiens	Homo sapiens
NFATC2	CHD4	Homo sapiens	Homo sapiens
SMARCD1	NFATC2	Homo sapiens	Homo sapiens
MBD3	NFATC2	Homo sapiens	Homo sapiens
NFATC2	NUDC	Homo sapiens	Homo sapiens
ACTL6A	NFATC2	Homo sapiens	Homo sapiens
NFATC2	MTA1	Homo sapiens	Homo sapiens
NFATC2	IDH3B	Homo sapiens	Homo sapiens
CSTF1	NFATC2	Homo sapiens	Homo sapiens
RPL23	NFATC2	Homo sapiens	Homo sapiens
PPP1CA	NFATC2	Homo sapiens	Homo sapiens
HSPH1	NFATC2	Homo sapiens	Homo sapiens
NFATC2	PMPCB	Homo sapiens	Homo sapiens
NFATC2	GTF3C5	Homo sapiens	Homo sapiens
NFATC2	TCP1	Homo sapiens	Homo sapiens
NFATC2	GTF3C4	Homo sapiens	Homo sapiens
DCAF7	NFATC2	Homo sapiens	Homo sapiens
HDAC1	NFATC2	Homo sapiens	Homo sapiens
MAPK9	NFATC2	Homo sapiens	Homo sapiens
DDX31	LYZ	Homo sapiens	Homo sapiens
FRMD1	LYZ	Homo sapiens	Homo sapiens
HBM	LYZ	Homo sapiens	Homo sapiens
SNX27	LYZ	Homo sapiens	Homo sapiens
GLIPR1	ALOXE3	Homo sapiens	Homo sapiens
WWOX	LYZ	Homo sapiens	Homo sapiens
HSPA8	GLIPR1	Homo sapiens	Homo sapiens
HSPA8	GLIPR1	Homo sapiens	Homo sapiens
HSPA8	GLIPR1	Homo sapiens	Homo sapiens
HSPA5	GLIPR1	Homo sapiens	Homo sapiens
A1BG	GLIPR1	Homo sapiens	Homo sapiens
GLIPR1	DZANK1	Homo sapiens	Homo sapiens
SF3B4	GLIPR1	Homo sapiens	Homo sapiens
RPS29	GLIPR1	Homo sapiens	Homo sapiens
CYLD	LYZ	Homo sapiens	Homo sapiens
CDK1	LYZ	Homo sapiens	Homo sapiens
TRIM25	LYZ	Homo sapiens	Homo sapiens
TRIM25	SNORD14E	Homo sapiens	Homo sapiens
HTN3	LYZ	Homo sapiens	Homo sapiens
ZNF598	LYZ	Homo sapiens	Homo sapiens
FBXO7	MNDA	Homo sapiens	Homo sapiens
TNIP2	LYZ	Homo sapiens	Homo sapiens
NFATC2	NKX2-1	Homo sapiens	Homo sapiens
CHD3	LYZ	Homo sapiens	Homo sapiens
CHD4	LYZ	Homo sapiens	Homo sapiens
RNF4	LYZ	Homo sapiens	Homo sapiens
RNF4	GLIPR1	Homo sapiens	Homo sapiens
SPDL1	LYZ	Homo sapiens	Homo sapiens
PRTN3	ESR2	Homo sapiens	Homo sapiens
MYC	LYZ	Homo sapiens	Homo sapiens
KRT17	LYZ	Homo sapiens	Homo sapiens
NFATC2	KIAA1429	Homo sapiens	Homo sapiens
METTL3	LYZ	Homo sapiens	Homo sapiens
TET2	LYZ	Homo sapiens	Homo sapiens
IFI44L	LYZ	Homo sapiens	Homo sapiens
CTBP2	SLCO4C1	Homo sapiens	Homo sapiens
