"","ID","Genes","Promoter","CpGs","DE"
"82","""1_9648089""","TMEM201",TRUE,FALSE,FALSE
"83","""1_26499658""","CATSPER4;CNKSR1",TRUE,FALSE,FALSE
"84","""1_26690647""","ZNF683",TRUE,FALSE,FALSE
"85","""1_27147799""","ZDHHC18",TRUE,FALSE,FALSE
"86","""1_28906507""","SNHG12",TRUE,FALSE,FALSE
"87","""1_29062514""","YTHDF2",TRUE,FALSE,FALSE
"88","""1_29197677""","RP1-212P9.3",TRUE,FALSE,FALSE
"89","""1_29505251""","SRSF4",TRUE,FALSE,FALSE
"90","""1_110080432""","GPR61",TRUE,FALSE,FALSE
"91","""1_110083451""","GPR61;RP5-1160K1.8",TRUE,FALSE,FALSE
"92","""1_110088719""","GNAI3",TRUE,FALSE,FALSE
"93","""1_110166949""","AMPD2;RP5-1160K1.6",TRUE,FALSE,FALSE
"94","""1_110196942""","GSTM4",TRUE,FALSE,FALSE
"95","""1_150458035""","TARS2",TRUE,FALSE,FALSE
"96","""1_151512436""","RP11-74C1.4;TUFT1",TRUE,FALSE,FALSE
"97","""1_151592346""","RNU6-1062P",TRUE,FALSE,FALSE
"98","""1_151672272""","AL589765.1;CELF3;RIIAD1;RP11-98D18.1",TRUE,FALSE,FALSE
"99","""1_151687246""","CELF3",TRUE,FALSE,FALSE
"100","""1_151731826""","MRPL9;OAZ3;RP11-98D18.16;RP11-98D18.2",TRUE,FALSE,FALSE
"101","""1_151763245""","RP11-98D18.9;TDRKH",TRUE,FALSE,FALSE
"102","""1_151793294""","RORC",TRUE,FALSE,FALSE
"103","""1_151812040""","AL450992.2;C2CD4D;Y_RNA",TRUE,FALSE,FALSE
"104","""1_151964788""","NBPF18P;S100A10",TRUE,FALSE,FALSE
"105","""1_154237905""","HAX1;UBAP2L",TRUE,FALSE,FALSE
"106","""1_154937471""","CKS1B;MIR4258;SHC1",TRUE,FALSE,FALSE
"107","""1_220951694""","MARC1;MARC2",TRUE,FALSE,FALSE
"108","""1_221910905""","DUSP10",TRUE,FALSE,FALSE
"109","""1_222788116""","MIA3",TRUE,FALSE,FALSE
"110","""1_231372947""","C1orf131;GNPAT",TRUE,FALSE,FALSE
"111","""10_134206302""","PWWP2B",TRUE,FALSE,FALSE
"112","""11_295655""","IFITM2;IFITM5;RP11-326C3.4",TRUE,FALSE,FALSE
"113","""11_355508""","B4GALNT4",TRUE,FALSE,FALSE
"114","""11_1869237""","LSP1",TRUE,FALSE,FALSE
"115","""11_2005194""","AC051649.6;H19;MRPL23-AS1",TRUE,FALSE,FALSE
"116","""11_2175865""","INS;INS-IGF2",TRUE,FALSE,FALSE
"117","""11_2185891""","MIR4686;TH",TRUE,FALSE,FALSE
"118","""11_2421130""","AC124057.5;TSSC4",TRUE,FALSE,FALSE
"119","""11_2433554""","TRPM5",TRUE,FALSE,FALSE
"120","""11_2457869""","KCNQ1",TRUE,FALSE,FALSE
"121","""11_3187816""","OSBPL5",TRUE,FALSE,FALSE
"122","""11_20153085""",NA,TRUE,FALSE,FALSE
"123","""11_62552270""","RP11-727F15.12;TMEM179B;TMEM223",TRUE,FALSE,FALSE
"124","""11_66101155""","RP11-867G23.12",TRUE,FALSE,FALSE
"125","""11_66278030""","BBS1",TRUE,FALSE,FALSE
"126","""11_66444372""","RBM4B",TRUE,FALSE,FALSE
"127","""11_67024509""","ADRBK1",TRUE,FALSE,FALSE
"128","""11_67039530""","ADRBK1;ANKRD13D",TRUE,FALSE,FALSE
"129","""11_67141091""","CLCF1",TRUE,FALSE,FALSE
"130","""11_67255570""","AIP;CDK2AP2;PITPNM1",TRUE,FALSE,FALSE
"131","""11_67348312""","GSTP1",TRUE,FALSE,FALSE
"132","""12_689397""","RNU7-103P;RP5-1154L15.1;RP5-1154L15.2",TRUE,FALSE,FALSE
"133","""12_738670""","RP11-218M22.1",TRUE,FALSE,FALSE
"134","""12_6444218""","RN7SL391P;TNFRSF1A",TRUE,FALSE,FALSE
"135","""12_6553533""","CD27",TRUE,FALSE,FALSE
"136","""12_6602233""","MRPL51;NCAPD2",TRUE,FALSE,FALSE
"137","""12_6641136""","GAPDH;RP5-940J5.3",TRUE,FALSE,FALSE
"138","""12_6652529""","IFFO1;RP5-940J5.8",TRUE,FALSE,FALSE
"139","""12_6685050""","CHD4;RP5-940J5.6;SCARNA11",TRUE,FALSE,TRUE
"140","""12_6831898""","COPS7A;RP4-761J14.9",TRUE,FALSE,FALSE
"141","""12_6874349""","PTMS",TRUE,FALSE,FALSE
"142","""12_6895382""","CD4",TRUE,FALSE,FALSE
"143","""12_6943615""","GNB3",TRUE,FALSE,FALSE
"144","""12_6956172""","CDCA3;USP5",TRUE,FALSE,FALSE
"145","""12_6996470""","LRRC23;SPSB2",TRUE,FALSE,FALSE
"146","""12_49665752""","RP11-161H23.5",TRUE,FALSE,FALSE
"147","""12_49670398""","PRPH",TRUE,FALSE,FALSE
"148","""12_49716640""","RP11-161H23.9;TROAP",TRUE,FALSE,FALSE
"149","""12_49723250""","C1QL4",TRUE,FALSE,FALSE
"150","""12_49740545""","DNAJC22",TRUE,FALSE,FALSE
"151","""12_49756726""","SPATS2",TRUE,FALSE,FALSE
"152","""13_31190013""","HMGB1;USPL1",TRUE,FALSE,FALSE
"153","""13_31303389""","ALOX5AP",TRUE,FALSE,FALSE
"154","""13_31505965""","TEX26-AS1;TEX26",TRUE,FALSE,FALSE
