"Sample_name","genotype","Name_file","Name_dir"
"WT_23","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2934-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/3589f659-6bae-48ad-bb4e-6271374ddcf5"
"WT_24","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2992-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/3617e099-d6dc-4a78-8b1d-088ec9573b50"
"WT_25","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2808-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/3a63bc93-6c1b-4adb-ac13-1a97a4cc00a5"
"WT_26","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2846-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/41b9be31-2209-464e-a70a-393c1e6b9e78"
"WT_27","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2889-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/42bfd127-efc6-4e30-ab1f-b1e2281299c6"
"WT_28","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2886-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/445008f3-28d8-42d9-8695-566e34af3472"
"WT_29","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2933-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/4c45f9cd-aad5-4cd5-868d-263f4609c78a"
"WT_30","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2899-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/4d4cefbf-1f0a-45d7-a5c2-d83f728dc809"
"WT_31","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2944-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/4de33c02-470e-4f7d-9634-7047187ca0eb"
"WT_32","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2937-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/4df9cd73-799c-456a-98fb-a70b093dbd0a"
"WT_33","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2828-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/52b626e9-51b1-45a1-acac-6bfeeba7a8ec"
"WT_34","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2883-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/52df2e31-2ea9-4415-b5cb-89fbd076ffbc"
"WT_35","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2900-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/58862126-5404-4182-850b-a87405f0a8a5"
"WT_36","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2910-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/5e235714-173a-4a83-ae4d-3e5df9470d02"
"WT_37","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2908-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/5f222e36-1fdb-4513-b11c-a452356fb426"
"WT_38","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2914-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/619bddb9-7174-48f5-9aff-71b0f106ee2b"
"WT_39","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2917-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/66001116-0e40-4c1a-af81-84b5e6cf0807"
"WT_40","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2921-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/66b0bdf9-ab49-4018-be55-0c20c823604c"
"WT_41","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2869-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/694fcafa-9611-481f-bd53-150d642de3a5"
"WT_42","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2982-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/6a377830-72ab-410b-b1be-e7c7ae91c3b0"
"WT_43","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2940-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/6ac8b19f-99a4-41c3-a2b5-8fec7efded48"
"WT_44","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2895-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/725128ef-11c5-4143-998f-95dc462c6cf3"
"WT_45","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2939-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/754d5257-0a90-4bff-9e6b-fe0a8fd73b65"
"WT_46","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2881-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/7864dcf1-3f35-4f23-9cfc-7c43e79f5321"
"WT_47","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2876-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/7b82ea8d-c24b-4739-9afc-822a9912a4b6"
"WT_48","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2872-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/7dd558d3-f981-4bea-a6bb-93388c10380e"
"WT_49","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2878-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/83043951-57c2-4217-b108-daeeb730f0ee"
"WT_50","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2875-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/8ef554ba-f7a5-4120-85fe-7245d2a75e10"
"WT_51","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2897-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/a0a5a2fe-ce2e-4276-b921-bd8aefe9651d"
"WT_52","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-3008-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/a0de0dce-c041-4482-9c17-be0cca62d16e"
"WT_53","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2888-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/a2f6d19d-bf6b-4c8f-8bf0-9af24903cf92"
"WT_54","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2819-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/b61c96c5-7afb-44eb-a874-dd3c286afe6d"
"WT_55","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2946-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/bb47621b-febf-4ce3-b5a8-f48daadd870a"
"WT_56","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2929-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/bb5ef1a0-7bc8-4ee8-b92b-8bd13606dc20"
"WT_57","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2956-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/c557754f-e8a4-4476-8a12-08c58dcf5e92"
"WT_58","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2986-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/c6f50bdf-e032-4135-aa4d-d270f5d38a71"
"WT_59","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2890-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/c8d81e50-71bf-49c3-a0c4-8655d12abad7"
"WT_60","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2999-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/cc6412a0-8fa1-4b7e-85d4-57cd76287df6"
"WT_61","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2955-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/ce8d8ba3-fdd7-4b3c-9bba-20c3f578d277"
"WT_62","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2966-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/cf414011-8d1e-440a-b17d-da854360dfb4"
"WT_63","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2916-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/cfcf96f3-e911-499a-8c1c-4b12fd80ca8e"
"WT_64","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2948-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/d31ea583-0741-455b-84a1-42848424762c"
"WT_65","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2880-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/dcabae76-e785-422c-865b-93d0ff66c208"
"WT_66","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2935-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/dd30825a-c435-45f1-a707-f6e2ab0c4f6b"
"WT_67","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2911-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/df52081f-b900-44c2-8494-e15201e252f1"
"WT_68","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2970-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/e35d7a52-d915-4c64-af79-83cb8ac62596"
"WT_69","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2871-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/e7aadd85-50dc-4d7b-a15c-615bc82d0611"
"WT_70","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2918-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/eab77405-8f96-4317-8e19-18a61d7a9bca"
"WT_71","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2931-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/ec549f65-3d87-4ebc-b5d4-92eafdd6ee5d"
"WT_72","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2975-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/ecc4ecac-edeb-458a-995d-c7a0b36d5fbd"
"WT_73","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2885-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/f0177702-5734-483b-a15c-8200bfd7a30d"
"WT_74","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2924-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/fa79d0b7-596d-4a38-ac2c-81232e92818d"
"WT_75","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2925-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/faa64249-6ce2-4b48-9dc2-2db20b297111"
"WT_76","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-3009-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/fb3cefc1-15d1-4419-82b0-9c0ebe6dff55"
"WT_77","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2950-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/feddb7a5-aa15-4c70-a989-d8472cce7bb3"
