"Sample_name","genotype","Name_file","Name_dir"
"MUT_1","Mut","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2877-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/MUT/1c623c99-ffd4-4af6-8729-123d418ac298"
"MUT_2","Mut","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2959-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/MUT/1eddc899-c6f3-43c4-904e-2be625e162ea"
"MUT_3","Mut","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2884-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/MUT/2441e35e-170a-4da5-9eeb-923e44ca201f"
"MUT_4","Mut","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2919-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/MUT/2583854f-4d72-4089-ba03-3f8117548323"
"MUT_5","Mut","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2898-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/MUT/2a3b30c8-36f1-4b85-9835-9f913caf0122"
"MUT_6","Mut","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2891-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/MUT/2fc2e927-08b7-4aa1-8d1a-26619293b0e4"
"MUT_7","Mut","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2936-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/MUT/315dc037-e07e-46b7-9793-31e7e26ec237"
"MUT_8","Mut","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2928-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/MUT/3331e721-956c-43f3-87a7-d64e295fb874"
"MUT_9","Mut","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2901-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/MUT/554e1fd0-5238-48b7-ae80-e355377b392b"
"MUT_10","Mut","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2863-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/MUT/59e4a5c8-7319-488b-8f26-996cf8ee67fd"
"MUT_11","Mut","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2949-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/MUT/9179cb60-d183-4a61-a221-56a22c077195"
"MUT_12","Mut","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2874-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/MUT/a734a473-3717-49e7-bd1c-986f98e0af29"
"MUT_13","Mut","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2821-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/MUT/e772bec1-ee23-45d7-a1de-b270d1f45387"
"WT_1","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2983-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/0339c09b-d0cf-4520-9fd4-7f540d8ecbc9"
"WT_2","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2988-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/06547ba1-1378-4dc9-9ee3-deb4bbed5411"
"WT_3","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2930-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/095b358a-9a59-4599-b30b-4ecd4b99d976"
"WT_4","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2892-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/0996e0da-5f79-4e8b-8345-ac44c98f1b72"
"WT_5","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2952-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/09e3ba21-75e5-4d6d-934f-289f130a4061"
"WT_6","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2913-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/0ed83477-4ac7-4f37-b76b-5b03e3081dc5"
"WT_7","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-3007-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/1083e066-eef7-4c7f-a80c-87db3fa22be5"
"WT_8","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2862-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/118a44a0-3cf1-4c27-9bdf-28c0515ac8bf"
"WT_9","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2920-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/157fd854-dc0a-4657-8074-2c72acd94b33"
"WT_10","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2882-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/1c742850-208d-4939-9cdf-5dcb7f11c279"
"WT_11","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2849-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/21d319bb-7ce7-421e-80b1-b8c34bf7017f"
"WT_12","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2870-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/21e53407-a899-4a5e-925e-055506ae3c9a"
"WT_13","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2835-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/21e8fe97-5293-4d9f-921b-d85d6a8f94ef"
"WT_14","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2932-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/27200da5-ac11-4f7d-8dbf-4302c4d1171e"
"WT_15","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2927-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/2802a63f-9962-45b3-95c0-46b35bea3017"
"WT_16","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2912-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/2864b71b-9c2a-4233-8854-1e242d4e009f"
"WT_17","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2873-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/298b079d-9a25-49e9-a477-3fec0b6fc112"
"WT_18","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2942-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/299c0433-0d99-4a62-b938-166fd3a5b508"
"WT_19","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2977-03A-01D-0742-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/29ebacf5-d1e2-4956-b87f-d5e4a14b25c6"
"WT_20","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2943-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/2bd83331-d1bf-481e-863f-d4465253f1a9"
"WT_21","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2915-03A-01D-0743-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/33439005-3ee1-4462-8cf1-fff691852530"
"WT_22","WT","jhu-usc.edu_LAML.HumanMethylation450.2.lvl-3.TCGA-AB-2847-03A-01D-0741-05.gdc_hg38.txt","/home/alexis/Documents/Data_TCGA/Methylomes/WT/34128145-b96f-4512-b3eb-bcc2cd15327f"
