from	to	Organism Name Interactor A	Organism Name Interactor B
LIN28A	MIR29B1	Homo sapiens	Homo sapiens
LIN28B	MIR29B1	Homo sapiens	Homo sapiens
HNRNPL	MIR29B1	Homo sapiens	Homo sapiens
STRBP	MIR29B1	Homo sapiens	Homo sapiens
HNRNPF	MIR29B1	Homo sapiens	Homo sapiens
HNRNPH1	MIR29B1	Homo sapiens	Homo sapiens
HNRNPH2	MIR29B1	Homo sapiens	Homo sapiens
HNRNPH3	MIR29B1	Homo sapiens	Homo sapiens
RBM4	MIR29B1	Homo sapiens	Homo sapiens
FUS	MIR29B1	Homo sapiens	Homo sapiens
TAF15	MIR29B1	Homo sapiens	Homo sapiens
RBM14	MIR29B1	Homo sapiens	Homo sapiens
DDX1	MIR29B1	Homo sapiens	Homo sapiens
MIR29B1	APOBEC3B	Homo sapiens	Homo sapiens
RTCB	MIR29B1	Homo sapiens	Homo sapiens
RBM47	MIR29B1	Homo sapiens	Homo sapiens
PRMT1	MIR29B1	Homo sapiens	Homo sapiens
SF3B1	MIR29B1	Homo sapiens	Homo sapiens
SF3B3	MIR29B1	Homo sapiens	Homo sapiens
PURA	MIR29B1	Homo sapiens	Homo sapiens
PLOD1	MIR29B1	Homo sapiens	Homo sapiens
HNRNPA0	MIR29B1	Homo sapiens	Homo sapiens
HNRNPA1	MIR29B1	Homo sapiens	Homo sapiens
HNRNPA2B1	MIR29B1	Homo sapiens	Homo sapiens
HNRNPA3	MIR29B1	Homo sapiens	Homo sapiens
HNRNPK	MIR29B1	Homo sapiens	Homo sapiens
TRIM71	MIR29B1	Homo sapiens	Homo sapiens
G3BP2	MIR29B1	Homo sapiens	Homo sapiens
TRIM25	MIR29B1	Homo sapiens	Homo sapiens
HNRNPM	MIR29B1	Homo sapiens	Homo sapiens
ZNF346	MIR29B1	Homo sapiens	Homo sapiens
DHX36	MIR29B1	Homo sapiens	Homo sapiens
DDX3X	MIR29B1	Homo sapiens	Homo sapiens
HNRNPR	MIR29B1	Homo sapiens	Homo sapiens
SYNCRIP	MIR29B1	Homo sapiens	Homo sapiens
ZFR	MIR29B1	Homo sapiens	Homo sapiens
MSI1	MIR29B1	Homo sapiens	Homo sapiens
MSI2	MIR29B1	Homo sapiens	Homo sapiens
TRA2A	MIR29B1	Homo sapiens	Homo sapiens
TRA2B	MIR29B1	Homo sapiens	Homo sapiens
EPRS	MIR29B1	Homo sapiens	Homo sapiens
DARS	MIR29B1	Homo sapiens	Homo sapiens
MARS	MIR29B1	Homo sapiens	Homo sapiens
KARS	MIR29B1	Homo sapiens	Homo sapiens
LARP7	MIR29B1	Homo sapiens	Homo sapiens
MYEF2	MIR29B1	Homo sapiens	Homo sapiens
RBFOX2	MIR29B1	Homo sapiens	Homo sapiens
KNOP1	MIR29B1	Homo sapiens	Homo sapiens
DDX21	MIR29B1	Homo sapiens	Homo sapiens
LRPPRC	MIR29B1	Homo sapiens	Homo sapiens
RBMS2	MIR29B1	Homo sapiens	Homo sapiens
HARS2	MIR29B1	Homo sapiens	Homo sapiens
SUGP2	MIR29B1	Homo sapiens	Homo sapiens
MATR3	MIR29B1	Homo sapiens	Homo sapiens
YBX3	MIR29B1	Homo sapiens	Homo sapiens
YBX1	MIR29B1	Homo sapiens	Homo sapiens
C1QBP	MIR29B1	Homo sapiens	Homo sapiens
PTBP1	MIR29B1	Homo sapiens	Homo sapiens
PTBP3	MIR29B1	Homo sapiens	Homo sapiens
FAM98A	MIR29B1	Homo sapiens	Homo sapiens
PDCD11	MIR29B1	Homo sapiens	Homo sapiens
UPF1	MIR29B1	Homo sapiens	Homo sapiens
NOL6	MIR29B1	Homo sapiens	Homo sapiens
UTP20	MIR29B1	Homo sapiens	Homo sapiens
PUF60	MIR29B1	Homo sapiens	Homo sapiens
NONO	MIR29B1	Homo sapiens	Homo sapiens
SFPQ	MIR29B1	Homo sapiens	Homo sapiens
EIF2AK2	MIR29B1	Homo sapiens	Homo sapiens
C9orf114	MIR29B1	Homo sapiens	Homo sapiens
IGF2BP1	MIR29B1	Homo sapiens	Homo sapiens
IGF2BP2	MIR29B1	Homo sapiens	Homo sapiens
IGF2BP3	MIR29B1	Homo sapiens	Homo sapiens
RBX1	ROCK1P1	Homo sapiens	Homo sapiens
