from	to	Organism Name Interactor A	Organism Name Interactor B
MOK	ZNF223	Homo sapiens	Homo sapiens
MDFI	ZNF223	Homo sapiens	Homo sapiens
ZC4H2	ZNF223	Homo sapiens	Homo sapiens
KRTAP10-7	ZNF223	Homo sapiens	Homo sapiens
MDFI	ZNF223	Homo sapiens	Homo sapiens
TRIM39	ZNF223	Homo sapiens	Homo sapiens
CENPB	ZNF223	Homo sapiens	Homo sapiens
TRIM41	ZNF223	Homo sapiens	Homo sapiens
ZNF223	ZNF430	Homo sapiens	Homo sapiens
ZNF223	ZNF284	Homo sapiens	Homo sapiens
ZNF223	ZNF92	Homo sapiens	Homo sapiens
TRIM26	ZNF223	Homo sapiens	Homo sapiens
EHMT2	ZNF223	Homo sapiens	Homo sapiens
STRN4	ZNF223	Homo sapiens	Homo sapiens
HAUS4	ZNF223	Homo sapiens	Homo sapiens
ZNF223	ZNF714	Homo sapiens	Homo sapiens
ZNF644	ZNF223	Homo sapiens	Homo sapiens
TRIM28	ZNF223	Homo sapiens	Homo sapiens
ZNF223	MTCL1	Homo sapiens	Homo sapiens
ZNF223	ANKRD52	Homo sapiens	Homo sapiens
HECTD1	ZNF223	Homo sapiens	Homo sapiens
HERC1	ZNF223	Homo sapiens	Homo sapiens
PPM1G	ZNF223	Homo sapiens	Homo sapiens
STRIP1	ZNF223	Homo sapiens	Homo sapiens
