from	to	Organism Name Interactor A	Organism Name Interactor B
NELFB	JUN	Homo sapiens	Homo sapiens
NELFB	JUN	Homo sapiens	Homo sapiens
NCOA6	JUN	Homo sapiens	Homo sapiens
NCOA1	JUN	Homo sapiens	Homo sapiens
NCOA1	JUN	Homo sapiens	Homo sapiens
BRCA1	JUN	Homo sapiens	Homo sapiens
BRCA1	JUN	Homo sapiens	Homo sapiens
AR	JUN	Homo sapiens	Homo sapiens
AR	JUN	Homo sapiens	Homo sapiens
ATF2	JUN	Homo sapiens	Homo sapiens
ATF2	JUN	Homo sapiens	Homo sapiens
RBM39	JUN	Homo sapiens	Homo sapiens
RBM39	JUN	Homo sapiens	Homo sapiens
JUN	RFWD2	Homo sapiens	Homo sapiens
JUN	ATF3	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
NR3C1	JUN	Homo sapiens	Homo sapiens
JUN	PHOX2A	Homo sapiens	Homo sapiens
HDAC3	JUN	Homo sapiens	Homo sapiens
JUN	RFWD2	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
BCL3	JUN	Homo sapiens	Homo sapiens
BCL3	JUN	Homo sapiens	Homo sapiens
BCL3	JUN	Homo sapiens	Homo sapiens
CSNK2A1	JUN	Homo sapiens	Homo sapiens
CSNK2A1	JUN	Homo sapiens	Homo sapiens
CREBBP	JUN	Homo sapiens	Homo sapiens
CREBBP	JUN	Homo sapiens	Homo sapiens
FOSL1	JUN	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	FOSL2	Homo sapiens	Homo sapiens
FOSL1	JUN	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	ERG	Homo sapiens	Homo sapiens
JUN	ERG	Homo sapiens	Homo sapiens
JUN	SKI	Homo sapiens	Homo sapiens
JUN	COPS5	Homo sapiens	Homo sapiens
JUN	COPS5	Homo sapiens	Homo sapiens
JUN	COPS5	Homo sapiens	Homo sapiens
JUN	JUN	Homo sapiens	Homo sapiens
JUN	GTF2B	Homo sapiens	Homo sapiens
JUN	TBP	Homo sapiens	Homo sapiens
JUN	GTF2B	Homo sapiens	Homo sapiens
JUN	TBP	Homo sapiens	Homo sapiens
TGIF1	JUN	Homo sapiens	Homo sapiens
