from	to	Organism Name Interactor A	Organism Name Interactor B
JUN	SMAD2	Homo sapiens	Homo sapiens
TGIF1	JUN	Homo sapiens	Homo sapiens
JUN	SPI1	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
RELA	JUN	Homo sapiens	Homo sapiens
JUN	JUN	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
RELA	JUN	Homo sapiens	Homo sapiens
VAV1	JUN	Homo sapiens	Homo sapiens
ATF2	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
DDIT3	JUN	Homo sapiens	Homo sapiens
DDIT3	JUN	Homo sapiens	Homo sapiens
JUN	TCF20	Homo sapiens	Homo sapiens
JUN	POU1F1	Homo sapiens	Homo sapiens
JUN	SMAD3	Homo sapiens	Homo sapiens
JUN	SMAD3	Homo sapiens	Homo sapiens
JUN	SMAD3	Homo sapiens	Homo sapiens
JUN	PRKD1	Homo sapiens	Homo sapiens
JUN	DHX9	Homo sapiens	Homo sapiens
HNRNPM	JUN	Homo sapiens	Homo sapiens
JUN	DDX21	Homo sapiens	Homo sapiens
JUN	DDX21	Homo sapiens	Homo sapiens
JUN	DDX21	Homo sapiens	Homo sapiens
JUN	SMAD3	Homo sapiens	Homo sapiens
JUN	SPIB	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
PIN1	JUN	Homo sapiens	Homo sapiens
PIN1	JUN	Homo sapiens	Homo sapiens
TSC22D3	JUN	Homo sapiens	Homo sapiens
JUN	ATF3	Homo sapiens	Homo sapiens
ETS2	JUN	Homo sapiens	Homo sapiens
ETS2	JUN	Homo sapiens	Homo sapiens
HIF1A	JUN	Homo sapiens	Homo sapiens
JUN	NACA	Homo sapiens	Homo sapiens
JUN	NACA	Homo sapiens	Homo sapiens
JUN	GTF2E2	Homo sapiens	Homo sapiens
JUN	GTF2F2	Homo sapiens	Homo sapiens
JUN	GTF2F1	Homo sapiens	Homo sapiens
JUN	MAPK3	Homo sapiens	Homo sapiens
JUN	VDR	Homo sapiens	Homo sapiens
JUN	CREB5	Homo sapiens	Homo sapiens
JUN	JUN	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
NRIP1	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
JUN	STAT4	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
JUN	RUNX2	Homo sapiens	Homo sapiens
JUN	RUNX1	Homo sapiens	Homo sapiens
JUN	RUNX2	Homo sapiens	Homo sapiens
JUN	RUNX1	Homo sapiens	Homo sapiens
PML	JUN	Homo sapiens	Homo sapiens
STAT1	JUN	Homo sapiens	Homo sapiens
JUN	STAT3	Homo sapiens	Homo sapiens
JUN	STAT3	Homo sapiens	Homo sapiens
STAT1	JUN	Homo sapiens	Homo sapiens
JUN	STAT3	Homo sapiens	Homo sapiens
JUN	MYOD1	Homo sapiens	Homo sapiens
JUN	MYOD1	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	NFE2L1	Homo sapiens	Homo sapiens
JUN	NFE2L2	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	NFE2L2	Homo sapiens	Homo sapiens
JUN	NFE2L1	Homo sapiens	Homo sapiens
NCOR2	JUN	Homo sapiens	Homo sapiens
NCOR2	JUN	Homo sapiens	Homo sapiens
NCOR2	JUN	Homo sapiens	Homo sapiens
NCOR2	JUN	Homo sapiens	Homo sapiens
PPP4C	JUN	Homo sapiens	Homo sapiens
ETS1	JUN	Homo sapiens	Homo sapiens
NCOA1	JUN	Homo sapiens	Homo sapiens
NCOA1	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
RB1	JUN	Homo sapiens	Homo sapiens
RB1	JUN	Homo sapiens	Homo sapiens
RB1	JUN	Homo sapiens	Homo sapiens
NFYA	JUN	Homo sapiens	Homo sapiens
SP1	JUN	Homo sapiens	Homo sapiens
NR5A1	JUN	Homo sapiens	Homo sapiens
JUN	SMAD3	Homo sapiens	Homo sapiens
TAF1	JUN	Homo sapiens	Homo sapiens
MAPK9	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
JUN	BCL6	Homo sapiens	Homo sapiens
JUN	BCL6	Homo sapiens	Homo sapiens
JUN	BCL6	Homo sapiens	Homo sapiens
JUN	TOP2A	Homo sapiens	Homo sapiens
ESR1	JUN	Homo sapiens	Homo sapiens
GATA2	JUN	Homo sapiens	Homo sapiens
UBE2I	JUN	Homo sapiens	Homo sapiens
JUN	RUNX2	Homo sapiens	Homo sapiens
JUN	RUNX1	Homo sapiens	Homo sapiens
JUN	RUNX2	Homo sapiens	Homo sapiens
JUN	RUNX2	Homo sapiens	Homo sapiens
JUN	HMGA1	Homo sapiens	Homo sapiens
ATF2	JUN	Homo sapiens	Homo sapiens
JUN	ATF3	Homo sapiens	Homo sapiens
ATF4	JUN	Homo sapiens	Homo sapiens
JUN	JDP2	Homo sapiens	Homo sapiens
JUN	PPP3CB	Homo sapiens	Homo sapiens
JUN	PPP3CB	Homo sapiens	Homo sapiens
FOSL1	JUN	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
FOSL1	JUN	Homo sapiens	Homo sapiens
MAPK1	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
CDKN1A	JUN	Homo sapiens	Homo sapiens
CDKN1A	JUN	Homo sapiens	Homo sapiens
JUN	RPS6KA2	Homo sapiens	Homo sapiens
JUN	ITCH	Homo sapiens	Homo sapiens
CSK	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
CSK	JUN	Homo sapiens	Homo sapiens
CSK	JUN	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
PRDX1	SESN2	Homo sapiens	Homo sapiens
DACH1	JUN	Homo sapiens	Homo sapiens
DACH1	JUN	Homo sapiens	Homo sapiens
JUN	APLP2	Homo sapiens	Homo sapiens
ARRB1	JUN	Homo sapiens	Homo sapiens
ATF4	JUN	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
HSP90AA1	JUN	Homo sapiens	Homo sapiens
UBC	JUN	Homo sapiens	Homo sapiens
JUN	MACF1	Homo sapiens	Homo sapiens
JUN	KMT2C	Homo sapiens	Homo sapiens
JUN	MAZ	Homo sapiens	Homo sapiens
JUN	MAZ	Homo sapiens	Homo sapiens
JUN	CEBPA	Homo sapiens	Homo sapiens
HDAC1	JUN	Homo sapiens	Homo sapiens
DACH1	JUN	Homo sapiens	Homo sapiens
JUN	SIRT1	Homo sapiens	Homo sapiens
KAT7	JUN	Homo sapiens	Homo sapiens
KAT7	JUN	Homo sapiens	Homo sapiens
KAT7	JUN	Homo sapiens	Homo sapiens
JUN	EDF1	Homo sapiens	Homo sapiens
JUN	EDF1	Homo sapiens	Homo sapiens
KAT7	JUN	Homo sapiens	Homo sapiens
UBC	JUN	Homo sapiens	Homo sapiens
SUMO1	JUN	Homo sapiens	Homo sapiens
JUN	HDAC9	Homo sapiens	Homo sapiens
SP1	JUN	Homo sapiens	Homo sapiens
EP300	JUN	Homo sapiens	Homo sapiens
EP300	JUN	Homo sapiens	Homo sapiens
EP300	JUN	Homo sapiens	Homo sapiens
EP300	JUN	Homo sapiens	Homo sapiens
JUN	SMAD3	Homo sapiens	Homo sapiens
JUN	HMGA1	Homo sapiens	Homo sapiens
CREBBP	JUN	Homo sapiens	Homo sapiens
PIAS2	JUN	Homo sapiens	Homo sapiens
PIAS1	JUN	Homo sapiens	Homo sapiens
ESR1	JUN	Homo sapiens	Homo sapiens
JUN	STAT6	Homo sapiens	Homo sapiens
JUN	STAT6	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
MBD3	JUN	Homo sapiens	Homo sapiens
MBD3	JUN	Homo sapiens	Homo sapiens
MBD3	JUN	Homo sapiens	Homo sapiens
JUN	CHD3	Homo sapiens	Homo sapiens
JUN	MTA3	Homo sapiens	Homo sapiens
JUN	ATF3	Homo sapiens	Homo sapiens
MYC	JUN	Homo sapiens	Homo sapiens
JUN	NFE2L2	Homo sapiens	Homo sapiens
ATF2	JUN	Homo sapiens	Homo sapiens
GNB2L1	JUN	Homo sapiens	Homo sapiens
JUN	CREB1	Homo sapiens	Homo sapiens
JUN	PPP2R2D	Homo sapiens	Homo sapiens
JUN	RNF187	Homo sapiens	Homo sapiens
JUN	RNF187	Homo sapiens	Homo sapiens
JUN	IKBKB	Homo sapiens	Homo sapiens
HIF1A	JUN	Homo sapiens	Homo sapiens
HIF1A	JUN	Homo sapiens	Homo sapiens
CREBBP	JUN	Homo sapiens	Homo sapiens
EP300	JUN	Homo sapiens	Homo sapiens
MAPK1	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK1	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
NFYA	JUN	Homo sapiens	Homo sapiens
JUN	MTA1	Homo sapiens	Homo sapiens
JUN	ITCH	Homo sapiens	Homo sapiens
EP300	JUN	Homo sapiens	Homo sapiens
JUN	KDM2B	Homo sapiens	Homo sapiens
JUN	FBXL12	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	JUN	Homo sapiens	Homo sapiens
JUN	COPS2	Homo sapiens	Homo sapiens
JUN	AP1G1	Homo sapiens	Homo sapiens
NEDD4	JUN	Homo sapiens	Homo sapiens
TSG101	JUN	Homo sapiens	Homo sapiens
NEDD4	JUN	Homo sapiens	Homo sapiens
TSG101	JUN	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	M6PR	Homo sapiens	Homo sapiens
JUN	SMAD3	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
ABL1	JUN	Homo sapiens	Homo sapiens
CSK	JUN	Homo sapiens	Homo sapiens
JUN	ITCH	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
JUN	RFWD2	Homo sapiens	Homo sapiens
CSNK2A1	JUN	Homo sapiens	Homo sapiens
JUN	PRKD1	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
PML	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
JUN	COPS5	Homo sapiens	Homo sapiens
ITPK1	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
JUN	COPS5	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK9	JUN	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
PML	JUN	Homo sapiens	Homo sapiens
PML	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
TRAF2	JUN	Homo sapiens	Homo sapiens
MAP3K1	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
PML	JUN	Homo sapiens	Homo sapiens
PML	JUN	Homo sapiens	Homo sapiens
PML	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
JUN	BATF3	Homo sapiens	Homo sapiens
JUN	CLINT1	Homo sapiens	Homo sapiens
JUN	CLINT1	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK9	JUN	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	SIRT1	Homo sapiens	Homo sapiens
JUN	SIRT1	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK9	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK9	JUN	Homo sapiens	Homo sapiens
MAPK10	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
CREBBP	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK9	JUN	Homo sapiens	Homo sapiens
MAPK9	JUN	Homo sapiens	Homo sapiens
MAPK10	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK10	JUN	Homo sapiens	Homo sapiens
MAP2K4	JUN	Homo sapiens	Homo sapiens
JUN	MAP2K7	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK9	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK9	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK9	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK9	JUN	Homo sapiens	Homo sapiens
RB1	JUN	Homo sapiens	Homo sapiens
RB1	JUN	Homo sapiens	Homo sapiens
JUN	NFATC2	Homo sapiens	Homo sapiens
JUN	NFATC2	Homo sapiens	Homo sapiens
JUN	TAF4	Homo sapiens	Homo sapiens
SQSTM1	SESN2	Homo sapiens	Homo sapiens
RBX1	SESN2	Homo sapiens	Homo sapiens
KEAP1	SESN2	Homo sapiens	Homo sapiens
JUN	SIRT1	Homo sapiens	Homo sapiens
VCP	SESN2	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK9	JUN	Homo sapiens	Homo sapiens
MAPK10	JUN	Homo sapiens	Homo sapiens
MUC1	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK9	JUN	Homo sapiens	Homo sapiens
JUN	PRKDC	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK10	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK9	JUN	Homo sapiens	Homo sapiens
TCL1A	JUN	Homo sapiens	Homo sapiens
TCL1A	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
MAPK9	JUN	Homo sapiens	Homo sapiens
JUN	RNF187	Homo sapiens	Homo sapiens
JUN	SMARCD3	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
JUN	BATF3	Homo sapiens	Homo sapiens
JUN	BATF2	Homo sapiens	Homo sapiens
JUN	ATF3	Homo sapiens	Homo sapiens
ATF4	JUN	Homo sapiens	Homo sapiens
FOSL1	JUN	Homo sapiens	Homo sapiens
JUN	BATF3	Homo sapiens	Homo sapiens
JUN	BATF2	Homo sapiens	Homo sapiens
JUN	BATF	Homo sapiens	Homo sapiens
JUN	ATF3	Homo sapiens	Homo sapiens
ATF4	JUN	Homo sapiens	Homo sapiens
FOSL1	JUN	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
ATF2	JUN	Homo sapiens	Homo sapiens
ATF2	JUN	Homo sapiens	Homo sapiens
JUN	EPAS1	Homo sapiens	Homo sapiens
JUN	CEBPE	Homo sapiens	Homo sapiens
CEBPG	JUN	Homo sapiens	Homo sapiens
DDIT3	JUN	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
EP300	JUN	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	NCOR1	Homo sapiens	Homo sapiens
EP300	JUN	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	KPNA2	Homo sapiens	Homo sapiens
JUN	HDGF	Homo sapiens	Homo sapiens
JUN	KPNA2	Homo sapiens	Homo sapiens
MAPK10	JUN	Homo sapiens	Homo sapiens
JUN	NAT14	Homo sapiens	Homo sapiens
MDM2	SESN2	Homo sapiens	Homo sapiens
JUN	CASP9	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
CREBBP	JUN	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
ATF2	JUN	Homo sapiens	Homo sapiens
CREB3	JUN	Homo sapiens	Homo sapiens
ETS1	JUN	Homo sapiens	Homo sapiens
JUN	STRN4	Homo sapiens	Homo sapiens
JUN	MAPRE3	Homo sapiens	Homo sapiens
JUN	BBS7	Homo sapiens	Homo sapiens
PRRC2A	JUN	Homo sapiens	Homo sapiens
JUN	MDM2	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
APP	JUN	Homo sapiens	Homo sapiens
HSPA8	JUN	Homo sapiens	Homo sapiens
HSP90AA1	JUN	Homo sapiens	Homo sapiens
JUN	GOPC	Homo sapiens	Homo sapiens
JUN	APLP2	Homo sapiens	Homo sapiens
JUN	SMAD2	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
ATF2	JUN	Homo sapiens	Homo sapiens
EP300	JUN	Homo sapiens	Homo sapiens
EP300	JUN	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
JUN	CORO7	Homo sapiens	Homo sapiens
JUN	RFWD2	Homo sapiens	Homo sapiens
ULK1	SESN2	Homo sapiens	Homo sapiens
SQSTM1	SESN2	Homo sapiens	Homo sapiens
ULK1	SESN2	Homo sapiens	Homo sapiens
RB1CC1	SESN2	Homo sapiens	Homo sapiens
ATG13	SESN2	Homo sapiens	Homo sapiens
ATG13	SESN2	Homo sapiens	Homo sapiens
RB1CC1	SESN2	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
ABL1	JUN	Homo sapiens	Homo sapiens
ABL1	JUN	Homo sapiens	Homo sapiens
GSK3B	JUN	Homo sapiens	Homo sapiens
PPP3CA	JUN	Homo sapiens	Homo sapiens
PPP3CA	JUN	Homo sapiens	Homo sapiens
PPP3CA	JUN	Homo sapiens	Homo sapiens
SP1	JUN	Homo sapiens	Homo sapiens
SP1	JUN	Homo sapiens	Homo sapiens
PPP3CA	JUN	Homo sapiens	Homo sapiens
SP1	JUN	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
CREBBP	JUN	Homo sapiens	Homo sapiens
JUN	KAT2B	Homo sapiens	Homo sapiens
PPARG	JUN	Homo sapiens	Homo sapiens
EWSR1	JUN	Homo sapiens	Homo sapiens
JUN	ETV1	Homo sapiens	Homo sapiens
CREBBP	JUN	Homo sapiens	Homo sapiens
EP300	JUN	Homo sapiens	Homo sapiens
JUN	PARP1	Homo sapiens	Homo sapiens
EP300	JUN	Homo sapiens	Homo sapiens
JUN	ETV4	Homo sapiens	Homo sapiens
JUN	MAPK8IP1	Homo sapiens	Homo sapiens
UBE2I	JUN	Homo sapiens	Homo sapiens
PIAS1	JUN	Homo sapiens	Homo sapiens
PIAS2	JUN	Homo sapiens	Homo sapiens
JUN	MAPK14	Homo sapiens	Homo sapiens
SEC13	SESN2	Homo sapiens	Homo sapiens
WDR5	SESN2	Homo sapiens	Homo sapiens
JUN	CREB5	Homo sapiens	Homo sapiens
JUN	FOSL2	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	CCDC67	Homo sapiens	Homo sapiens
CDRT15	CDRT15L2	Homo sapiens	Homo sapiens
CCNDBP1	JUN	Homo sapiens	Homo sapiens
JUN	TRIP4	Homo sapiens	Homo sapiens
JUN	TRIP4	Homo sapiens	Homo sapiens
JUN	TRIP4	Homo sapiens	Homo sapiens
EWSR1	JUN	Homo sapiens	Homo sapiens
JUN	ATF3	Homo sapiens	Homo sapiens
ATF2	JUN	Homo sapiens	Homo sapiens
JUN	FOSL2	Homo sapiens	Homo sapiens
JUN	INPP5B	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	FOSL2	Homo sapiens	Homo sapiens
JUN	CREB5	Homo sapiens	Homo sapiens
JUN	ATF7	Homo sapiens	Homo sapiens
ATF4	JUN	Homo sapiens	Homo sapiens
GSK3B	JUN	Homo sapiens	Homo sapiens
JUN	KLF5	Homo sapiens	Homo sapiens
JUN	KLF5	Homo sapiens	Homo sapiens
JUN	CREB1	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	ATF7	Homo sapiens	Homo sapiens
JUN	CREB5	Homo sapiens	Homo sapiens
ATF2	JUN	Homo sapiens	Homo sapiens
JUN	ATF3	Homo sapiens	Homo sapiens
JUN	FOSB	Homo sapiens	Homo sapiens
JUN	JDP2	Homo sapiens	Homo sapiens
JUN	NFATC1	Homo sapiens	Homo sapiens
JUN	CEBPB	Homo sapiens	Homo sapiens
JUN	FOSL2	Homo sapiens	Homo sapiens
JUN	APOA2	Homo sapiens	Homo sapiens
JUN	BATF3	Homo sapiens	Homo sapiens
JUN	EBF3	Homo sapiens	Homo sapiens
JUN	MEF2A	Homo sapiens	Homo sapiens
JUN	RFWD2	Homo sapiens	Homo sapiens
TFAP2A	JUN	Homo sapiens	Homo sapiens
JUN	NFIX	Homo sapiens	Homo sapiens
JUN	BANP	Homo sapiens	Homo sapiens
JUN	CREB1	Homo sapiens	Homo sapiens
HOXB9	JUN	Homo sapiens	Homo sapiens
JUN	LIG3	Homo sapiens	Homo sapiens
MEF2D	JUN	Homo sapiens	Homo sapiens
JUN	SMARCB1	Homo sapiens	Homo sapiens
JUN	VARS	Homo sapiens	Homo sapiens
JUN	GOPC	Homo sapiens	Homo sapiens
JUND	JUN	Homo sapiens	Homo sapiens
EEF1D	JUN	Homo sapiens	Homo sapiens
JUN	BEND4	Homo sapiens	Homo sapiens
DARS	JUN	Homo sapiens	Homo sapiens
IARS	JUN	Homo sapiens	Homo sapiens
NBR1	JUN	Homo sapiens	Homo sapiens
JUN	NKRF	Homo sapiens	Homo sapiens
JUN	TMED1	Homo sapiens	Homo sapiens
SMAD4	JUN	Homo sapiens	Homo sapiens
JUN	NFATC4	Homo sapiens	Homo sapiens
JUN	NR2F6	Homo sapiens	Homo sapiens
JUN	TRIM33	Homo sapiens	Homo sapiens
JUN	NFATC2	Homo sapiens	Homo sapiens
JUN	RANGAP1	Homo sapiens	Homo sapiens
JUN	FOS	Homo sapiens	Homo sapiens
JUN	HOXD13	Homo sapiens	Homo sapiens
JUN	SMARCC1	Homo sapiens	Homo sapiens
JUN	ARID3B	Homo sapiens	Homo sapiens
JUN	KHSRP	Homo sapiens	Homo sapiens
JUN	NKX2-5	Homo sapiens	Homo sapiens
JUN	PDS5A	Homo sapiens	Homo sapiens
SATB1	JUN	Homo sapiens	Homo sapiens
JUN	SATB2	Homo sapiens	Homo sapiens
JUN	SIX4	Homo sapiens	Homo sapiens
JUN	SMARCC2	Homo sapiens	Homo sapiens
JUN	SMARCE1	Homo sapiens	Homo sapiens
JUN	MEF2A	Homo sapiens	Homo sapiens
JUN	NFATC1	Homo sapiens	Homo sapiens
DNMT3L	JUN	Homo sapiens	Homo sapiens
JUN	UBXN7	Homo sapiens	Homo sapiens
JUN	FBXW7	Homo sapiens	Homo sapiens
JUN	FBXW7	Homo sapiens	Homo sapiens
JUN	FBXW7	Homo sapiens	Homo sapiens
JUN	FBXW7	Homo sapiens	Homo sapiens
SESN2	WDR59	Homo sapiens	Homo sapiens
JUN	NFE2L2	Homo sapiens	Homo sapiens
JUN	ARNT	Homo sapiens	Homo sapiens
JUN	ARNT	Homo sapiens	Homo sapiens
JUN	NFATC2	Homo sapiens	Homo sapiens
JUN	NFATC1	Homo sapiens	Homo sapiens
JUN	NFAT5	Homo sapiens	Homo sapiens
JUN	NFAT5	Homo sapiens	Homo sapiens
JUN	NFATC2	Homo sapiens	Homo sapiens
MAPK8	JUN	Homo sapiens	Homo sapiens
